constructorStandingsId,raceId,constructorId,points,position,positionText,wins
28713,1121,9,44.0,1,1,1
28714,1121,6,27.0,2,2,0
28715,1121,131,16.0,3,3,0
28716,1121,1,12.0,4,4,0
28717,1121,117,3.0,5,5,0
28718,1121,15,0.0,6,6,0
28719,1121,210,0.0,7,7,0
28720,1121,215,0.0,8,8,0
28721,1121,3,0.0,9,9,0
28722,1121,214,0.0,10,10,0
28723,1122,9,87.0,1,1,2
28724,1122,6,49.0,2,2,0
28725,1122,131,26.0,4,4,0
28726,1122,1,28.0,3,3,0
28727,1122,117,13.0,5,5,0
28728,1122,15,0.0,8,8,0
28729,1122,210,1.0,6,6,0
28730,1122,215,0.0,9,9,0
28731,1122,3,0.0,7,7,0
28732,1122,214,0.0,10,10,0
28752,1123,214,0.0,10,10,0
28750,1123,215,6.0,6,6,0
28748,1123,15,0.0,9,9,0
28747,1123,117,25.0,5,5,0
28746,1123,1,55.0,3,3,0
28745,1123,131,26.0,4,4,0
28751,1123,3,0.0,8,8,0
28749,1123,210,4.0,7,7,0
28744,1123,6,93.0,2,2,1
28743,1123,9,97.0,1,1,2
28753,1124,9,141.0,1,1,3
28754,1124,6,120.0,2,2,1
28755,1124,131,34.0,4,4,0
28756,1124,1,69.0,3,3,0
28757,1124,117,33.0,5,5,0
28758,1124,15,0.0,9,9,0
28759,1124,210,4.0,7,7,0
28760,1124,215,7.0,6,6,0
28761,1124,3,0.0,8,8,0
28762,1124,214,0.0,10,10,0
28784,1126,6,187.0,2,2,1
28783,1126,9,239.0,1,1,4
28782,1125,214,0.0,9,9,0
28780,1125,215,7.0,6,6,0
28779,1125,210,5.0,7,7,0
28778,1125,15,0.0,10,10,0
28777,1125,117,40.0,5,5,0
28774,1125,6,151.0,2,2,1
28781,1125,3,0.0,8,8,0
28776,1125,1,96.0,3,3,0
28775,1125,131,52.0,4,4,0
28773,1125,9,195.0,1,1,4
28785,1126,131,64.0,4,4,0
28786,1126,1,124.0,3,3,1
28787,1126,117,42.0,5,5,0
28788,1126,15,0.0,10,10,0
